"","id","coord","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"11","5","X","476.9238505818923","484.96795654296875","486.4054237053408","486.80853949652777","489.22258819520584","485.59570193523086","481.9337136192396","476.6092522753145","471.9897609658641","473.43432391131364","472.61546530918764","471.232994629858","468.6849041617172","467.77335540593015","469.909835726197","470.0514164677372","472.7916980765716","474.2763711137381","483.74593217935245","489.06585990801653","488.93537435847645","486.3666788736979","479.9224783616688","470.8335076345105"
"12","5","Y","344.6260436654788","340.86928220752617","344.54448618154544","343.59905399077115","345.8932905587536","343.41356184515104","343.3040186117964","344.04803478694566","345.0681464063261","348.31715961181163","344.6401198240284","346.9115461382949","344.15779783014665","342.45040536623947","338.8883130406311","342.4459038747449","342.0933000293159","346.98015833923455","345.9228753578825","348.26397931134255","352.17479326571635","347.5152207164504","346.8679767928393","340.87909423352215"
"13","6","X","252.9351045188383","267.3123983937165","261.10161437393396","260.61825423212775","258.68155949761757","258.5066803156981","262.4175133063779","252.84650419655367","257.72077727736087","253.61490112066733","241.04502523619294","239.86372626083403","246.09563816360563","244.66371532536854","249.5205920481542","254.0708718104669","251.21283042268212","252.8682852999741","264.03954459445055","256.947086921677","263.8354846143815","265.6773522211562","248.5472692894889","251.01287603843048"
"14","6","Y","374.39909252739324","365.9915149235121","370.05291974103005","367.71471287539595","372.1529812282986","376.86768455579727","366.27556456924646","377.7127073708101","378.0828289307116","376.196109704804","389.3537602415326","385.0883046646564","384.0033110679939","381.0805191724156","380.6005060742473","377.447888558371","380.27869300767924","384.1553513673778","367.64570329156766","378.7302119829501","369.730895639163","367.12098833645524","384.173500700536","385.7804201360334"
"15","7","X","542.0024468791879","543.3667709023399","547.3124662105567","554.7118673640617","544.5464707164504","544.6319389715064","543.2285438225283","540.8249631587989","542.4508729455066","539.6262500904224","534.4721639830234","539.3742094727752","536.2689872280663","541.138383147777","538.8455798054299","540.9630847953216","536.633274457608","538.2117563288579","536.93924039428","549.2121134678058","554.0318149618703","547.5301886069611","541.0450256823564","542.0133766932794"
"16","7","Y","528.0780302943774","519.7302159091882","524.2084174500106","522.9171294868573","522.3641985619975","527.2632668775889","527.2989379406905","525.9936838726319","526.358937045984","526.5153780039291","521.2378877041167","523.40401246069","519.902796457153","526.3268120897676","520.8325892814651","524.9341873258178","521.8071293226692","524.176621464958","521.4476605093735","523.0953399479738","527.1462560583044","527.1260603222465","522.825458370454","517.3047139723631"
"17","8","X","200.00231079190795","219.8167330200909","199.1923927470722","219.9962341204489","200.58166608011047","203.1155826799121","220.26317529511033","203.32341303834673","200.01413222641972","201.5747455500255","217.72421481781302","220.50205193532605","218.8102908069395","218.42663309495117","221.0555331284075","197.93657953511436","200.50546493678993","206.13988567746404","211.12575716907284","219.10531860113608","215.9353952984131","221.39378330163788","220.04206042075947","202.40688628852948"
"18","8","Y","541.5154368975009","551.4223975466008","538.9182477341293","550.819520113761","539.6718790005987","550.0203188771625","556.6927941454317","537.554199486448","540.228408605267","539.7161635460212","554.6660915917588","557.2676812184949","551.9930798268457","554.2012669375532","554.109040793852","545.4011181688215","544.5752220823053","555.3813650268793","543.2965052197551","553.2934308563291","540.0644804302015","551.9615794994213","555.8941662288316","554.3411144829167"
"19","9","X","512.245167514734","517.3582373725043","514.2122586196393","516.9694185907613","527.3059189110471","513.4476273148148","512.413036800035","515.4297544245134","525.492149189434","511.7539915564464","500.1259913453814","514.1202189722488","493.83087396156947","487.8025689970912","499.36019469887657","516.4790864762274","507.9783799913194","514.8200789483202","515.0176740203916","525.2791311401605","484.9820023624056","510.427623845448","523.2214578550461","492.91541621931344"
"20","9","Y","519.7345806515937","522.6594014009769","517.5980766846654","520.5666039003963","503.76776711982586","526.4158092000563","517.4664839062309","515.8802700228625","505.71971038163986","521.9369462219595","506.2320927848592","518.3259703355458","471.76795885112085","512.5618531225252","503.1144708406623","524.2239808199698","507.0482404980278","512.2715405321028","516.1745142053675","468.9941352710389","524.8120087443272","520.3623046280115","503.47776952078004","525.8162803724263"
